path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
Laserdisc Collection/Daphne/Daphne [AI Remastered 1080p]/Dragon's Lair II Time Warp 1080p 4x3 (Eng+Spa)/mpeg2/lair2-1080,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne%20%5BAI%20Remastered%201080p%5D/Dragon%27s%20Lair%20II%20Time%20Warp%201080p%204x3%20%28Eng%2BSpa%29/mpeg2/lair2-1080/,6,823,4229412333,3.94 GiB,823,4229412333,3.94 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne [AI Remastered 1080p]/Space Ace 1080p 16x9 (Eng+Spa)/mpeg2/ace1080p,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne%20%5BAI%20Remastered%201080p%5D/Space%20Ace%201080p%2016x9%20%28Eng%2BSpa%29/mpeg2/ace1080p/,6,949,4856726579,4.52 GiB,949,4856726579,4.52 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne [AI Remastered 1080p]/Space Ace 1080p 4x3 (Eng+Spa)/mpeg2/ace1080p43,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne%20%5BAI%20Remastered%201080p%5D/Space%20Ace%201080p%204x3%20%28Eng%2BSpa%29/mpeg2/ace1080p43/,6,949,4900129932,4.56 GiB,949,4900129932,4.56 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/ace,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/ace/,6,949,7952748301,7.41 GiB,949,7952748301,7.41 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/ace60fps,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/ace60fps/,6,947,5972102464,5.56 GiB,947,5972102464,5.56 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/astron,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/astron/,6,4,518417838,494.40 MiB,4,518417838,494.40 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/badlands,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/badlands/,6,4,713523945,680.47 MiB,4,713523945,680.47 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/bega,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/bega/,6,4,456316335,435.18 MiB,4,456316335,435.18 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/cliff,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/cliff/,6,4,737626129,703.46 MiB,4,737626129,703.46 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/cliff60fps,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/cliff60fps/,6,4,1301689873,1.21 GiB,4,1301689873,1.21 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/cobra,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/cobra/,6,6,1041415316,993.17 MiB,6,1041415316,993.17 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/esh,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/esh/,6,4,885785510,844.75 MiB,4,885785510,844.75 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/galaxy,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/galaxy/,6,4,536034218,511.20 MiB,4,536034218,511.20 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/gpworld,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/gpworld/,6,7,439715163,419.35 MiB,7,439715163,419.35 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/interstellar,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/interstellar/,6,4,415913906,396.65 MiB,4,415913906,396.65 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/lair,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/lair/,6,781,6650343785,6.19 GiB,781,6650343785,6.19 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/lair2,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/lair2/,6,817,6733741144,6.27 GiB,817,6733741144,6.27 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/lair260fps,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/lair260fps/,6,817,4768959127,4.44 GiB,817,4768959127,4.44 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/lair60fps,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/lair60fps/,6,815,5523299357,5.14 GiB,815,5523299357,5.14 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/mach3,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/mach3/,6,4,772594703,736.80 MiB,4,772594703,736.80 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/roadblaster,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/roadblaster/,6,5,739358003,705.11 MiB,5,739358003,705.11 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/sdq,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/sdq/,6,10,1095487002,1.02 GiB,10,1095487002,1.02 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/tq,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/tq/,6,7,4243370320,3.95 GiB,7,4243370320,3.95 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/mpeg2/uvt,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/mpeg2/uvt/,6,4,607025479,578.90 MiB,4,607025479,578.90 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/crimepatrol,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/crimepatrol/,6,61,3875030,3.70 MiB,871,1365746900,1.27 GiB,2,1,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/drugwars,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/drugwars/,6,59,3395093,3.24 MiB,935,1458433962,1.36 GiB,2,1,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/hayate,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/hayate/,6,40,1081946703,1.01 GiB,40,1081946703,1.01 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/johnnyrock,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/johnnyrock/,6,65,2783780,2.65 MiB,950,1230719078,1.15 GiB,2,1,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/lbh,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/lbh/,6,59,2651335,2.53 MiB,818,1205889190,1.12 GiB,2,1,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/maddog,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/maddog/,6,71,3157142,3.01 MiB,119,1534772538,1.43 GiB,3,2,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/maddog2,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/maddog2/,6,44,2958513,2.82 MiB,680,1950974286,1.82 GiB,2,1,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/spacepirates,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/spacepirates/,6,82,4047708,3.86 MiB,530,1084386410,1.01 GiB,2,1,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/starblazers,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/starblazers/,6,113,1000111879,953.78 MiB,113,1000111879,953.78 MiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/timegal,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/timegal/,6,66,2080217466,1.94 GiB,66,2080217466,1.94 GiB,1,0,0
Laserdisc Collection/Daphne/Daphne4K/Daphne/singe/timetraveler,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/Daphne4K/Daphne/singe/timetraveler/,6,29,30905182,29.47 MiB,80,902002136,860.22 MiB,2,1,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Daphne/singe/freedomfighter/cdrom,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Daphne/singe/freedomfighter/cdrom/,6,42,1730537046,1.61 GiB,42,1730537046,1.61 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Daphne/singe/timetraveler/dvd,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Daphne/singe/timetraveler/dvd/,6,51,3676694196,3.42 GiB,51,3676694196,3.42 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Daphne/vldp/starblazers/dvd,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Daphne/vldp/starblazers/dvd/,6,24,3021295813,2.81 GiB,24,3021295813,2.81 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe1/singe/actionmax_HD/38ambushalley,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe1/singe/actionmax_HD/38ambushalley/,6,3,1835351960,1.71 GiB,3,1835351960,1.71 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe1/singe/actionmax_HD/bluethunder,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe1/singe/actionmax_HD/bluethunder/,6,3,1731314790,1.61 GiB,3,1731314790,1.61 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe1/singe/actionmax_HD/hydrosub2021,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe1/singe/actionmax_HD/hydrosub2021/,6,3,1728490802,1.61 GiB,3,1728490802,1.61 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe1/singe/actionmax_HD/popsghostly,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe1/singe/actionmax_HD/popsghostly/,6,3,1944311807,1.81 GiB,3,1944311807,1.81 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe1/singe/actionmax_HD/sonicfury,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe1/singe/actionmax_HD/sonicfury/,6,3,1620469964,1.51 GiB,3,1620469964,1.51 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/AlteredCarbon/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/AlteredCarbon/Cfg/,6,10,4309,4.21 KiB,10,4309,4.21 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/AlteredCarbon/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/AlteredCarbon/Fonts/,6,1,53862,52.60 KiB,1,53862,52.60 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/AlteredCarbon/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/AlteredCarbon/Overlay/,6,67,234010,228.53 KiB,206,585552,571.83 KiB,3,2,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/AlteredCarbon/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/AlteredCarbon/Script/,6,1,885,885 B,1,885,885 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/AlteredCarbon/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/AlteredCarbon/Sounds/,6,8,975562,952.70 KiB,8,975562,952.70 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/AlteredCarbon/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/AlteredCarbon/Video/,6,3,4499257446,4.19 GiB,3,4499257446,4.19 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol1/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol1/Cfg/,6,13,4746,4.63 KiB,13,4746,4.63 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol1/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol1/Fonts/,6,2,114688,112.00 KiB,2,114688,112.00 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol1/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol1/Overlay/,6,75,287766,281.02 KiB,223,655275,639.92 KiB,3,2,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol1/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol1/Script/,6,1,885,885 B,1,885,885 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol1/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol1/Sounds/,6,8,1071817,1.02 MiB,8,1071817,1.02 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol1/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol1/Video/,6,3,3168893541,2.95 GiB,3,3168893541,2.95 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol2/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol2/Cfg/,6,13,4828,4.71 KiB,13,4828,4.71 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol2/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol2/Fonts/,6,2,114688,112.00 KiB,2,114688,112.00 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol2/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol2/Overlay/,6,75,287766,281.02 KiB,223,651896,636.62 KiB,3,2,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol2/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol2/Script/,6,1,885,885 B,1,885,885 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol2/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol2/Sounds/,6,8,1071817,1.02 MiB,8,1071817,1.02 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol2/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol2/Video/,6,3,4759989759,4.43 GiB,3,4759989759,4.43 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol3/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol3/Cfg/,6,13,4849,4.74 KiB,13,4849,4.74 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol3/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol3/Fonts/,6,2,114688,112.00 KiB,2,114688,112.00 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol3/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol3/Overlay/,6,75,287766,281.02 KiB,223,654239,638.91 KiB,3,2,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol3/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol3/Script/,6,1,885,885 B,1,885,885 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol3/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol3/Sounds/,6,8,1071817,1.02 MiB,8,1071817,1.02 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Arcade_Xperience_Vol3/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Arcade_Xperience_Vol3/Video/,6,3,5837950974,5.44 GiB,3,5837950974,5.44 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Asterix/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Asterix/Cfg/,6,9,4517,4.41 KiB,9,4517,4.41 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Asterix/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Asterix/Fonts/,6,1,22937,22.40 KiB,1,22937,22.40 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Asterix/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Asterix/Overlay/,6,51,128039,125.04 KiB,174,445410,434.97 KiB,3,2,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Asterix/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Asterix/Script/,6,1,885,885 B,1,885,885 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Asterix/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Asterix/Sounds/,6,8,444720,434.30 KiB,8,444720,434.30 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Asterix/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Asterix/Video/,6,3,4714558361,4.39 GiB,3,4714558361,4.39 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Astroboy/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Astroboy/Cfg/,6,13,5985,5.84 KiB,13,5985,5.84 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Astroboy/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Astroboy/Fonts/,6,2,114688,112.00 KiB,2,114688,112.00 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Astroboy/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Astroboy/Overlay/,6,71,283412,276.77 KiB,212,611624,597.29 KiB,3,2,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Astroboy/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Astroboy/Script/,6,1,885,885 B,1,885,885 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Astroboy/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Astroboy/Sounds/,6,8,1367037,1.30 MiB,8,1367037,1.30 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/Astroboy/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/Astroboy/Video/,6,3,3245751910,3.02 GiB,3,3245751910,3.02 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP2DW_HD/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP2DW_HD/Cfg/,6,1,185,185 B,1,185,185 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP2DW_HD/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP2DW_HD/Fonts/,6,1,74752,73.00 KiB,1,74752,73.00 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP2DW_HD/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP2DW_HD/Overlay/,6,37,497663,486.00 KiB,37,497663,486.00 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP2DW_HD/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP2DW_HD/Script/,6,23,2358162,2.25 MiB,23,2358162,2.25 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP2DW_HD/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP2DW_HD/Sounds/,6,6,719254,702.40 KiB,6,719254,702.40 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP2DW_HD/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP2DW_HD/Video/,6,3,3794349567,3.53 GiB,3,3794349567,3.53 GiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP_HD/Cfg,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP_HD/Cfg/,6,2,383,383 B,2,383,383 B,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP_HD/Fonts,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP_HD/Fonts/,6,1,53862,52.60 KiB,1,53862,52.60 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP_HD/Overlay,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP_HD/Overlay/,6,38,497995,486.32 KiB,38,497995,486.32 KiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP_HD/Script,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP_HD/Script/,6,23,2403217,2.29 MiB,23,2403217,2.29 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP_HD/Sounds,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP_HD/Sounds/,6,8,1062396,1.01 MiB,8,1062396,1.01 MiB,1,0,0
Laserdisc Collection/Hypseus Singe HD [AI enhanced]/Singe2/singe/CP_HD/Video,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe%20HD%20%5BAI%20enhanced%5D/Singe2/singe/CP_HD/Video/,6,3,3900994354,3.63 GiB,3,3900994354,3.63 GiB,1,0,0
