path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
MAME/Software List CHDs (merged)/psx/soldivid,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/soldivid/,4,1,119432806,113.90 MiB,1,119432806,113.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sonata,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sonata/,4,2,822398156,784.30 MiB,2,822398156,784.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sorcmaze,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sorcmaze/,4,1,20866662,19.90 MiB,1,20866662,19.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sosasoft,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sosasoft/,4,1,70988595,67.70 MiB,1,70988595,67.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sotn,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sotn/,4,2,766404198,730.90 MiB,2,766404198,730.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sotsuxw,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sotsuxw/,4,1,114189926,108.90 MiB,1,114189926,108.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/soulblad,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/soulblad/,4,2,706949938,674.20 MiB,2,706949938,674.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/soulsam,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/soulsam/,4,1,327260569,312.10 MiB,1,327260569,312.10 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/southprk,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/southprk/,4,1,179725926,171.40 MiB,1,179725926,171.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spaceinv,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spaceinv/,4,2,233308159,222.50 MiB,2,233308159,222.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spacejam,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spacejam/,4,1,108527616,103.50 MiB,1,108527616,103.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spacesht,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spacesht/,4,1,387553689,369.60 MiB,1,387553689,369.60 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sparkral,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sparkral/,4,1,248302796,236.80 MiB,1,248302796,236.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spawn,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spawn/,4,1,378326220,360.80 MiB,1,378326220,360.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spcargt,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spcargt/,4,1,248827084,237.30 MiB,1,248827084,237.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spchulk,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spchulk/,4,1,248302796,236.80 MiB,1,248302796,236.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spdb2100,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spdb2100/,4,1,424044134,404.40 MiB,1,424044134,404.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spdpunks,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spdpunks/,4,2,498912460,475.80 MiB,2,498912460,475.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/spdracer,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/spdracer/,4,1,113455923,108.20 MiB,1,113455923,108.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/specopac,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/specopac/,4,1,109681049,104.60 MiB,1,109681049,104.60 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/specopca,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/specopca/,4,1,62075699,59.20 MiB,1,62075699,59.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/specopre,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/specopre/,4,1,90701824,86.50 MiB,1,90701824,86.50 MiB,1,0,0
